Object/Action_1,Object/Action_2,ActionUsedFor,HasProperty,AssociatedWith,Affordance,AtLocation,LocatedNear,CreatedBy,Action
package:mozzarella,put,0,0,0,1,0,0,0,1.0
grinder:coffee,turn,0,0,0,1,0,0,0,1.0
water,video,0,0,0,1,0,0,0,1.0
food,sample,0,0,0,1,0,0,0,1.0
towel:kitchen,bin,0,0,1,0,0,1,0,0.0
bottle,fill,0,0,0,1,0,0,0,1.0
heart,tomato,0,0,1,0,0,1,0,0.0
lid,jar:coffee,0,0,1,0,0,1,0,0.0
rack:draining,place,0,0,0,1,0,0,0,1.0
box:tomato,open,0,0,0,1,0,0,0,1.0
bottle,open,0,0,0,1,0,0,0,1.0
top,pot,0,0,1,0,0,1,0,0.0
garlic,bulb,0,0,1,0,0,1,0,0.0
dish,wash,0,0,0,1,0,0,0,1.0
table,box:pizza,0,0,1,0,0,1,0,0.0
vinegar,put,0,0,0,1,0,0,0,1.0
package:popcorn,table,0,0,1,0,0,1,0,0.0
board,potato,0,0,1,0,0,1,0,0.0
rusk,put,0,0,0,1,0,0,0,1.0
bacon,container,0,0,1,0,0,1,0,0.0
door,put-into,0,0,0,1,0,0,0,1.0
patty,mixture,0,0,1,0,0,1,0,0.0
bin,wrapper,0,0,1,0,0,1,0,0.0
rice,pot:right,0,0,1,0,0,1,0,0.0
spice,set-down,0,0,0,1,0,0,0,1.0
avocado,scoop,0,0,0,1,0,0,0,1.0
pan,raisin,0,0,1,0,0,1,0,0.0
bin:food,skin:onion,0,0,1,0,0,1,0,0.0
cup:measuring,move,0,0,0,1,0,0,0,1.0
container,trash,0,0,1,0,0,1,0,0.0
flour,jug,0,0,1,0,0,1,0,0.0
coriander,put-down,0,0,0,1,0,0,0,1.0
bag:flour,unroll,0,0,0,1,0,0,0,1.0
skinner:carrot,take,0,0,0,1,0,0,0,1.0
plate:lasagne,take,0,0,0,1,0,0,0,1.0
cupboard,brush,0,0,0,1,0,0,0,1.0
pan,pepper,0,0,1,0,0,1,0,0.0
tablecloth,pick-up,0,0,0,1,0,0,0,1.0
box,fridge,0,0,1,0,0,1,0,0.0
spoon,salt,0,0,1,0,0,1,0,0.0
bowl:salad,soap,0,0,0,1,0,0,0,1.0
pan:garlic,put-into,0,0,0,1,0,0,0,1.0
moka,put-down,0,0,0,1,0,0,0,1.0
milk,drink,0,0,0,1,0,0,0,1.0
jug,dry,0,0,0,1,0,0,0,1.0
bin:rubbish,courgette,0,0,1,0,0,1,0,0.0
oil:sesame,pick-up,0,0,0,1,0,0,0,1.0
stem:mint,take,0,0,0,1,0,0,0,1.0
scrap,pick-up,0,0,0,1,0,0,0,1.0
rug,put-down,0,0,0,1,0,0,0,1.0
pastry,tin,0,0,1,0,0,1,0,0.0
colander,rinse,0,0,0,1,0,0,0,1.0
chilli,open,0,0,0,1,0,0,0,1.0
pot:coffee,put,0,0,0,1,0,0,0,1.0
dustbin,garlic,0,0,1,0,0,1,0,0.0
glass,take-out,0,0,0,1,0,0,0,1.0
strainer,cupboard,0,0,1,0,0,1,0,0.0
jug,stock:leftover,0,0,1,0,0,1,0,0.0
dish,pick-up,0,0,0,1,0,0,0,1.0
spaghetti,pot,0,0,1,0,0,1,0,0.0
spatula,tupperware,0,0,1,0,0,1,0,0.0
content,bag,0,0,1,0,0,1,0,0.0
liquid,brusher,0,0,1,0,0,1,0,0.0
slice:bread,plate,0,0,1,0,0,1,0,0.0
nut:pine,add,0,0,0,1,0,0,0,1.0
board:cutting,onion,0,0,1,0,0,1,0,0.0
spice,get,0,0,0,1,0,0,0,1.0
salt,take,0,0,0,1,0,0,0,1.0
sponge,return,0,0,0,1,0,0,0,1.0
flour,put-down,0,0,0,1,0,0,0,1.0
chopstick,sprout,0,0,1,0,0,1,0,0.0
cooker,open,0,0,0,1,0,0,0,1.0
cupboard,oil:sesame,0,0,1,0,0,1,0,0.0
utensil,lather,0,0,0,1,0,0,0,1.0
sauce:fish,take,0,0,0,1,0,0,0,1.0
fridge,bread,0,0,1,0,0,1,0,0.0
garlic,open,0,0,0,1,0,0,0,1.0
loaf,bread,0,0,1,0,0,1,0,0.0
bag,grab,0,0,0,1,0,0,0,1.0
clip,packaging:salad,0,0,1,0,0,1,0,0.0
olive,take,0,0,0,1,0,0,0,1.0
aubergine,take-out,0,0,0,1,0,0,0,1.0
filter,coffee,0,0,1,0,0,1,0,0.0
clothes,take,0,0,0,1,0,0,0,1.0
cup:soap,lather,0,0,0,1,0,0,0,1.0
squash,put,0,0,0,1,0,0,0,1.0
plate,put-into,0,0,0,1,0,0,0,1.0
detergent,pan,0,0,1,0,0,1,0,0.0
plate,side,0,0,1,0,0,1,0,0.0
skinner:carrot,rinse,0,0,0,1,0,0,0,1.0
knife,pot,0,0,1,0,0,1,0,0.0
freezer,phone,0,0,1,0,0,1,0,0.0
mixture,egg,0,0,1,0,0,1,0,0.0
corn,spoon-in,0,0,0,1,0,0,0,1.0
bottle,coke,0,0,1,0,0,1,0,0.0
mushroom,chop,0,0,0,1,0,0,0,1.0
spoon:tea,wash,0,0,0,1,0,0,0,1.0
potato:sweet,get,0,0,0,1,0,0,0,1.0
crisp,pick-up,0,0,0,1,0,0,0,1.0
box:mushroom,open,0,0,0,1,0,0,0,1.0
cloth,hand:my,0,0,1,0,0,1,0,0.0
cob,turn,0,0,0,1,0,0,0,1.0
pan,onion,0,0,1,0,0,1,0,0.0
lettuce,put,0,0,0,1,0,0,0,1.0
bag,flour,0,0,1,0,0,1,0,0.0
package,cookie,0,0,1,0,0,1,0,0.0
ginger,box,0,0,1,0,0,1,0,0.0
oil:olive,tomato,0,0,1,0,0,1,0,0.0
processor:food,bowl:processor,0,0,1,0,0,1,0,0.0
plate,search-for,0,0,0,1,0,0,0,1.0
food:cooked,bowl:glass,0,0,1,0,0,1,0,0.0
courgette,slice,0,0,0,1,0,0,0,1.0
rusk,pick-up,0,0,0,1,0,0,0,1.0
container:tofu,take,0,0,0,1,0,0,0,1.0
powder:garlic,close,0,0,0,1,0,0,0,1.0
plate,bacon,0,0,1,0,0,1,0,0.0
omelette,mat:sushi,0,0,1,0,0,1,0,0.0
rest,spoon,0,0,1,0,0,1,0,0.0
bag:flour,unfold,0,0,0,1,0,0,0,1.0
spoon:coffee,take,0,0,0,1,0,0,0,1.0
pot:plastic,get,0,0,0,1,0,0,0,1.0
dish,throw,0,0,0,1,0,0,0,1.0
box:lunch,cucumber,0,0,1,0,0,1,0,0.0
colander,clean,0,0,0,1,0,0,0,1.0
ingredient,mix,0,0,0,1,0,0,0,1.0
bag,get-out,0,0,0,1,0,0,0,1.0
yoghurt,lid,0,0,1,0,0,1,0,0.0
lid,cover,0,0,0,1,0,0,0,1.0
onion,knife,0,0,1,0,0,1,0,0.0
butter,fridge,0,0,1,0,0,1,0,0.0
coffee,filter,0,0,1,0,0,1,0,0.0
knife:mincing,lather,0,0,0,1,0,0,0,1.0
pepper,cut,0,0,0,1,0,0,0,1.0
slice:pizza,put-down,0,0,0,1,0,0,0,1.0
waste,rinse,0,0,0,1,0,0,0,1.0
dough,flip,0,0,0,1,0,0,0,1.0
oil,left:top,0,0,1,0,0,1,0,0.0
board:cutting,put-down,0,0,0,1,0,0,0,1.0
cheese:more,tortilla,0,0,1,0,0,1,0,0.0
packaging,bean:green,0,0,1,0,0,1,0,0.0
knife,garlic,0,0,1,0,0,1,0,0.0
powder:curry,put-down,0,0,0,1,0,0,0,1.0
rack:drying,saucepan,0,0,1,0,0,1,0,0.0
salad:pouring,bowl,0,0,1,0,0,1,0,0.0
bulb,garlic,0,0,1,0,0,1,0,0.0
meat,look-at,0,0,0,1,0,0,0,1.0
tap,filter:water,0,0,1,0,0,1,0,0.0
cereal,packet,0,0,1,0,0,1,0,0.0
bean:green,pot,0,0,1,0,0,1,0,0.0
tupperware,tomato,0,0,1,0,0,1,0,0.0
processor:food,get,0,0,0,1,0,0,0,1.0
mug,knife,0,0,1,0,0,1,0,0.0
rice:cooked,pot,0,0,1,0,0,1,0,0.0
onion:spring,chop,0,0,0,1,0,0,0,1.0
blender,surface,0,0,1,0,0,1,0,0.0
balance,put,0,0,0,1,0,0,0,1.0
basket,shake,0,0,0,1,0,0,0,1.0
piece:courgette,take,0,0,0,1,0,0,0,1.0
pot,switch-off,0,0,0,1,0,0,0,1.0
garlic,find,0,0,0,1,0,0,0,1.0
garlic,side,0,0,1,0,0,1,0,0.0
bag,close,0,0,0,1,0,0,0,1.0
box:lunch,bag,0,0,1,0,0,1,0,0.0
bag:plastic,dustbin,0,0,1,0,0,1,0,0.0
cup,liquid,0,0,1,0,0,1,0,0.0
bowl,yeast,0,0,1,0,0,1,0,0.0
knife,take,0,0,0,1,0,0,0,1.0
meat,cut,0,0,0,1,0,0,0,1.0
trivet,open,0,0,0,1,0,0,0,1.0
bag:rice,fold,0,0,0,1,0,0,0,1.0
lettuce,wash,0,0,0,1,0,0,0,1.0
dishwasher,drawer,0,0,1,0,0,1,0,0.0
bin,v60,0,0,1,0,0,1,0,0.0
bag:plastic,cut,0,0,0,1,0,0,0,1.0
spoon,rack:drying,0,0,1,0,0,1,0,0.0
pot,take-out,0,0,0,1,0,0,0,1.0
pot:small,tomato:peeled,0,0,1,0,0,1,0,0.0
right:bottom,stove,0,0,1,0,0,1,0,0.0
plate,store,0,0,0,1,0,0,0,1.0
plastic,recycle,0,0,1,0,0,1,0,0.0
tortilla,pick-up,0,0,0,1,0,0,0,1.0
ladle,put-away,0,0,0,1,0,0,0,1.0
knife,plate,0,0,1,0,0,1,0,0.0
jar,place,0,0,0,1,0,0,0,1.0
sauce,cut,0,0,0,1,0,0,0,1.0
chicken,pour-on,0,0,0,1,0,0,0,1.0
cheese,pesto,0,0,1,0,0,1,0,0.0
box:cereal,put-down,0,0,0,1,0,0,0,1.0
olive,move,0,0,0,1,0,0,0,1.0
rice,open,0,0,0,1,0,0,0,1.0
clothes,move,0,0,0,1,0,0,0,1.0
pan,put-down,0,0,0,1,0,0,0,1.0
onion:diced,bag,0,0,1,0,0,1,0,0.0
bowl,grab-up,0,0,0,1,0,0,0,1.0
choppings:onion,throw,0,0,0,1,0,0,0,1.0
bowl,empty-up,0,0,0,1,0,0,0,1.0
rubbish,grape,0,0,1,0,0,1,0,0.0
cabbage,cut,0,0,0,1,0,0,0,1.0
nut,plate:nut,0,0,1,0,0,1,0,0.0
teaspoon,soap,0,0,0,1,0,0,0,1.0
film:cling,bin,0,0,1,0,0,1,0,0.0
socket,plug-into,0,0,0,1,0,0,0,1.0
board:serving,sauce,0,0,1,0,0,1,0,0.0
egg,fry,0,0,0,1,0,0,0,1.0
strainer,drainer,0,0,1,0,0,1,0,0.0
bag:kitchen,bag:plastic,0,0,1,0,0,1,0,0.0
rice,scoop-up,0,0,0,1,0,0,0,1.0
water,honey,0,0,1,0,0,1,0,0.0
chopstick,wash,0,0,0,1,0,0,0,1.0
pasta,salsa,0,0,1,0,0,1,0,0.0
teapot,tea,0,0,1,0,0,1,0,0.0
gas,light,0,0,0,1,0,0,0,1.0
saucepan,cooker,0,0,1,0,0,1,0,0.0
pot,close,0,0,0,1,0,0,0,1.0
pan,colander,0,0,1,0,0,1,0,0.0
side,dry,0,0,0,1,0,0,0,1.0
lettuce,pick-up,0,0,0,1,0,0,0,1.0
chair,adjust,0,0,0,1,0,0,0,1.0
bin,end:carrot,0,0,1,0,0,1,0,0.0
left:top,pot,0,0,1,0,0,1,0,0.0
clove,garlic,0,0,1,0,0,1,0,0.0
board,lettuce,0,0,1,0,0,1,0,0.0
top,mixture,0,0,1,0,0,1,0,0.0
shelf,pepper,0,0,1,0,0,1,0,0.0
glass:fruit,milk,0,0,1,0,0,1,0,0.0
bean:green,take,0,0,0,1,0,0,0,1.0
bottom,oil:olive,0,0,1,0,0,1,0,0.0
spade:food,clean,0,0,0,1,0,0,0,1.0
salad,place,0,0,0,1,0,0,0,1.0
container:tupperware,bin,0,0,1,0,0,1,0,0.0
spade:food,piece:fish,0,0,1,0,0,1,0,0.0
part,onion:spring,0,0,1,0,0,1,0,0.0
dough,mozzarella,0,0,1,0,0,1,0,0.0
tissue,wipe-with,0,0,0,1,0,0,0,1.0
case,close,0,0,0,1,0,0,0,1.0
oven,turn-off,0,0,0,1,0,0,0,1.0
container,pour-into,0,0,0,1,0,0,0,1.0
garni:bouquet,open,0,0,0,1,0,0,0,1.0
lime,milk:coconut,0,0,1,0,0,1,0,0.0
bin,wipe,0,0,0,1,0,0,0,1.0
grinder,open,0,0,0,1,0,0,0,1.0
spatula,drawer,0,0,1,0,0,1,0,0.0
lid,oil:olive,0,0,1,0,0,1,0,0.0
finger,end,0,0,0,1,0,0,0,1.0
bag,clamp,0,0,0,1,0,0,0,1.0
board:cutting,sponge,0,0,0,1,0,0,0,1.0
support,insert,0,0,0,1,0,0,0,1.0
dough,onion,0,0,1,0,0,1,0,0.0
package:cream,trash,0,0,1,0,0,1,0,0.0
microwave,set,0,0,0,1,0,0,0,1.0
plate,submerge,0,0,0,1,0,0,0,1.0
chopstick,pick-up,0,0,0,1,0,0,0,1.0
cup,rinse,0,0,0,1,0,0,0,1.0
shelf:utensil,bowl,0,0,1,0,0,1,0,0.0
bottle,empty,0,0,0,1,0,0,0,1.0
bread,put-down,0,0,0,1,0,0,0,1.0
drawer,glass,0,0,1,0,0,1,0,0.0
salad,drain,0,0,0,1,0,0,0,1.0
onion:new,remove,0,0,0,1,0,0,0,1.0
bag,cereal,0,0,1,0,0,1,0,0.0
spoon:wooden,tupperware,0,0,1,0,0,1,0,0.0
dishwasher,place,0,0,0,1,0,0,0,1.0
corn:sweet,take,0,0,0,1,0,0,0,1.0
nut,bowl,0,0,1,0,0,1,0,0.0
boxer,take,0,0,0,1,0,0,0,1.0
almond,get,0,0,0,1,0,0,0,1.0
tray,hold,0,0,0,1,0,0,0,1.0
plate,toast,0,0,1,0,0,1,0,0.0
paprika,take-out,0,0,0,1,0,0,0,1.0
bowl,shake,0,0,0,1,0,0,0,1.0
trash,throw,0,0,0,1,0,0,0,1.0
tap,fold,0,0,0,1,0,0,0,1.0
paneer,turn,0,0,0,1,0,0,0,1.0
flake:chilli,pick-up,0,0,0,1,0,0,0,1.0
wrapper,tear,0,0,0,1,0,0,0,1.0
mesh,strainer,0,0,1,0,0,1,0,0.0
butter,spread,0,0,0,1,0,0,0,1.0
mushroom,slice,0,0,0,1,0,0,0,1.0
chilli,pith,0,0,1,0,0,1,0,0.0
chicken,wash,0,0,0,1,0,0,0,1.0
spoon:second,pot,0,0,1,0,0,1,0,0.0
alarm,set,0,0,0,1,0,0,0,1.0
milk:soy,pour,0,0,0,1,0,0,0,1.0
trash,throw-into,0,0,0,1,0,0,0,1.0
pan,get,0,0,0,1,0,0,0,1.0
tomato,cooker,0,0,1,0,0,1,0,0.0
lid:container,pick-up,0,0,0,1,0,0,0,1.0
paste:shrimp,put-down,0,0,0,1,0,0,0,1.0
flour,add,0,0,0,1,0,0,0,1.0
bin,eggshell,0,0,1,0,0,1,0,0.0
hand:my,water:tap,0,0,1,0,0,1,0,0.0
dish,vegetable,0,0,1,0,0,1,0,0.0
trivet,turn,0,0,0,1,0,0,0,1.0
bottle:milk,open,0,0,0,1,0,0,0,1.0
holder:filter,insert,0,0,0,1,0,0,0,1.0
spoon,drawer,0,0,1,0,0,1,0,0.0
side,egg,0,0,1,0,0,1,0,0.0
table,bottle:milk,0,0,1,0,0,1,0,0.0
pan:frying,put-in,0,0,0,1,0,0,0,1.0
base,kettle,0,0,1,0,0,1,0,0.0
pan:frying,tilt,0,0,0,1,0,0,0,1.0
meat:minced,plate:lasagne,0,0,1,0,0,1,0,0.0
fridge,cheese,0,0,1,0,0,1,0,0.0
liquid:cleaning,pour,0,0,0,1,0,0,0,1.0
lid,box:lunch,0,0,1,0,0,1,0,0.0
pepper,chop,0,0,0,1,0,0,0,1.0
nut:pine,stir,0,0,0,1,0,0,0,1.0
package,wipe,0,0,0,1,0,0,0,1.0
toast:melba,open,0,0,0,1,0,0,0,1.0
board:chop,get,0,0,0,1,0,0,0,1.0
leaf:salad,bowl,0,0,1,0,0,1,0,0.0
chicken,pick-up,0,0,0,1,0,0,0,1.0
corn:sweet,rinse,0,0,0,1,0,0,0,1.0
pan:rolling,roll:kitchen,0,0,1,0,0,1,0,0.0
spoon:wooden,used,0,0,0,1,0,0,0,1.0
turmeric,open,0,0,0,1,0,0,0,1.0
oil,salad,0,0,1,0,0,1,0,0.0
bowl,spoon,0,0,1,1,0,1,0,1.0
water,collect,0,0,0,1,0,0,0,1.0
kettle,turn-off,0,0,0,1,0,0,0,1.0
spatula,place,0,0,0,1,0,0,0,1.0
dough,put-down,0,0,0,1,0,0,0,1.0
chopstick,throw,0,0,0,1,0,0,0,1.0
tongs,grab,0,0,0,1,0,0,0,1.0
rest:ladle,put-down,0,0,0,1,0,0,0,1.0
coffee,machine:coffee,0,0,1,0,0,1,0,0.0
pizza,put,0,0,0,1,0,0,0,1.0
lid,container,0,0,1,0,0,1,0,0.0
heart:tomato,take,0,0,0,1,0,0,0,1.0
onion,transfer,0,0,0,1,0,0,0,1.0
refrigerator,package:cookie,0,0,1,0,0,1,0,0.0
egg:open,crack,0,0,0,1,0,0,0,1.0
onion,put-in,0,0,0,1,0,0,0,1.0
top,water:pour,0,0,1,0,0,1,0,0.0
tomato,cut,0,0,0,1,0,0,0,1.0
bottle:water,take,0,0,0,1,0,0,0,1.0
tablecloth,fold,0,0,0,1,0,0,0,1.0
pot:third,get,0,0,0,1,0,0,0,1.0
water,bottle,0,0,1,0,0,1,0,0.0
cheese,bread,0,0,1,0,0,1,0,0.0
bottom,sprout:more,0,0,1,0,0,1,0,0.0
carrot,tail,0,0,1,0,0,1,0,0.0
hand,look-at,0,0,0,1,0,0,0,1.0
onion:few,knife,0,0,1,0,0,1,0,0.0
counter,put-on,0,0,0,1,0,0,0,1.0
roll:kitchen,pan:rolling,0,0,1,0,0,1,0,0.0
grinder:coffee,flip,0,0,0,1,0,0,0,1.0
bit:food,gather,0,0,0,1,0,0,0,1.0
bag:rice,open,0,0,0,1,0,0,0,1.0
dustbin,bag:plastic,0,0,1,0,0,1,0,0.0
board:cut,shelf:utensil,0,0,1,0,0,1,0,0.0
jar,take,0,0,0,1,0,0,0,1.0
board:chopping,bowl,0,0,1,0,0,1,0,0.0
mug,shake,0,0,0,1,0,0,0,1.0
cake,slice,0,0,0,1,0,0,0,1.0
oil,tuna,0,0,1,0,0,1,0,0.0
onion,skin,0,0,1,0,0,1,0,0.0
milk,return,0,0,0,1,0,0,0,1.0
pan,water,0,0,1,0,0,1,0,0.0
spoon,place,0,0,0,1,0,0,0,1.0
cooker,stove,0,0,1,0,0,1,0,0.0
water,unfreeze,0,0,0,1,0,0,0,1.0
microwave,dish:tortilla,0,0,1,0,0,1,0,0.0
curry:fish,box,0,0,1,0,0,1,0,0.0
cafetiere,top:cafetiere,0,0,1,0,0,1,0,0.0
lid,lather,0,0,0,1,0,0,0,1.0
paella,fix,0,0,0,1,0,0,0,1.0
tomato:peeled,pot:small,0,0,1,0,0,1,0,0.0
bowl,search,0,0,0,1,0,0,0,1.0
courgette,dice,0,0,0,1,0,0,0,1.0
spoon:wooden,pesto:cheese,0,0,1,0,0,1,0,0.0
raisin,pour,0,0,0,1,0,0,0,1.0
peeler:carrot,dry,0,0,0,1,0,0,0,1.0
glass,put-down,0,0,0,1,0,0,0,1.0
tablecloth,unfold,0,0,0,1,0,0,0,1.0
plate,pan,0,0,1,0,0,1,0,0.0
pepper,packet,0,0,1,0,0,1,0,0.0
curry:only,leaf:curry,0,0,1,0,0,1,0,0.0
bag,cover:plastic,0,0,1,0,0,1,0,0.0
sachet,open,0,0,0,1,0,0,0,1.0
bottom,pot,0,0,1,0,0,1,0,0.0
soap,container,0,0,1,0,0,1,0,0.0
refrigerator,spoon:wooden,0,0,1,0,0,1,0,0.0
bag:tea,throw,0,0,0,1,0,0,0,1.0
peeling,move,0,0,0,1,0,0,0,1.0
sink,spoon,0,0,1,0,0,1,0,0.0
bit:food,bin,0,0,1,0,0,1,0,0.0
fridge,container:food,0,0,1,0,0,1,0,0.0
eggshell,scoop,0,0,0,1,0,0,0,1.0
bread,packaging,0,0,1,0,0,1,0,0.0
ring:onion,plate,0,0,1,0,0,1,0,0.0
soda,pick-up,0,0,0,1,0,0,0,1.0
bottle:vinegar,cupboard,0,0,1,0,0,1,0,0.0
pot:small,pick-up,0,0,0,1,0,0,0,1.0
roll:kitchen,pick-up,0,0,0,1,0,0,0,1.0
pepper,put-in,0,0,0,1,0,0,0,1.0
container:sauce,knife,0,0,1,0,0,1,0,0.0
salad,take,0,0,0,1,0,0,0,1.0
oil,lettuce,0,0,1,0,0,1,0,0.0
yeast,cupboard,0,0,1,0,0,1,0,0.0
bowl:mortar,garlic,0,0,1,0,0,1,0,0.0
residue:food,toss,0,0,0,1,0,0,0,1.0
stove,switch,0,0,0,1,0,0,0,1.0
filter,insert,0,0,0,1,0,0,0,1.0
pepper,shake,0,0,0,1,0,0,0,1.0
letter,pick-up,0,0,0,1,0,0,0,1.0
fork,clean,0,0,0,1,0,0,0,1.0
sponge,dish,0,0,1,0,0,1,0,0.0
bean:coffee,pick-up,0,0,0,1,0,0,0,1.0
cap,open,0,0,0,1,0,0,0,1.0
salad,plate,0,0,1,0,0,1,0,0.0
tomato:peeled,pick-up,0,0,0,1,0,0,0,1.0
dough,squeeze,0,0,0,1,0,0,0,1.0
bin,towel:kitchen,0,0,1,0,0,1,0,0.0
fridge,mint,0,0,1,0,0,1,0,0.0
rack,bowl,0,0,1,0,0,1,0,0.0
wok,put-down,0,0,0,1,0,0,0,1.0
spice,chilli,0,0,1,0,0,1,0,0.0
glove:oven,drawer,0,0,1,0,0,1,0,0.0
cloth,shake,0,0,0,1,0,0,0,1.0
fridge,dish,0,0,1,0,0,1,0,0.0
scoop,pick-up,0,0,0,1,0,0,0,1.0
knife,dry,0,0,0,1,0,0,0,1.0
pot,onion,0,0,1,0,0,1,0,0.0
cover,pot:right,0,0,1,0,0,1,0,0.0
cloth:table,wash,0,0,0,1,0,0,0,1.0
paper:baking,cut,0,0,0,1,0,0,0,1.0
chilli,pan,0,0,1,0,0,1,0,0.0
fish,bag,0,0,1,0,0,1,0,0.0
package:parsley,cut,0,0,0,1,0,0,0,1.0
tong,take,0,0,0,1,0,0,0,1.0
detergent,get,0,0,0,1,0,0,0,1.0
peeling,remove,0,0,0,1,0,0,0,1.0
pan:pizza,put,0,0,0,1,0,0,0,1.0
plate,pizza,0,0,1,0,0,1,0,0.0
spoon:wooden,drawer,0,0,1,0,0,1,0,0.0
avocado,fridge,0,0,1,0,0,1,0,0.0
bin,put,0,0,0,1,0,0,0,1.0
sink:water,put,0,0,0,1,0,0,0,1.0
flour:egg,side,0,0,1,0,0,1,0,0.0
oil,open,0,0,0,1,0,0,0,1.0
onion,sprinkle,0,0,0,1,0,0,0,1.0
package:cheese,open,0,0,0,1,0,0,0,1.0
piece:onion,put,0,0,0,1,0,0,0,1.0
curry,pan,0,0,1,0,0,1,0,0.0
peeler:potato,grab-down,0,0,0,1,0,0,0,1.0
hand,stab,0,0,0,1,0,0,0,1.0
cupboard,pot:left,0,0,1,0,0,1,0,0.0
tofu,pan,0,0,1,0,0,1,0,0.0
fire,open,0,0,0,1,0,0,0,1.0
board:cutting,spinach,0,0,1,0,0,1,0,0.0
tap,open,0,0,0,1,0,0,0,1.0
bread,inspect,0,0,0,1,0,0,0,1.0
cooker,pan,0,0,1,0,0,1,0,0.0
bowl:salad,fork,0,0,1,0,0,1,0,0.0
oregano,pet-down,0,0,0,1,0,0,0,1.0
box,liquid,0,0,1,0,0,1,0,0.0
bag,put-down,0,0,0,1,0,0,0,1.0
cupboard,saucepan,0,0,1,0,0,1,0,0.0
garlic,pan,0,0,1,0,0,1,0,0.0
soap,pot,0,0,1,0,0,1,0,0.0
piece:carrot,look-at,0,0,0,1,0,0,0,1.0
bowl,rack:drying,0,0,1,0,0,1,0,0.0
bit:kiwi,skin:bit,0,0,1,0,0,1,0,0.0
breast:chicken,cut,0,0,0,1,0,0,0,1.0
cheese:more,scoop,0,0,0,1,0,0,0,1.0
counter,close,0,0,0,1,0,0,0,1.0
spoon,pot,0,0,1,0,0,1,0,0.0
tuna,mix,0,0,0,1,0,0,0,1.0
pepper,salt,0,0,1,0,0,1,0,0.0
board:chopping,surface,0,0,1,0,0,1,0,0.0
jar,move,0,0,0,1,0,0,0,1.0
glass,get,0,0,0,1,0,0,0,1.0
bag:sandwich,close,0,0,0,1,0,0,0,1.0
coffee,pour,0,0,0,1,0,0,0,1.0
cloth:table,pick-up,0,0,0,1,0,0,0,1.0
opener:bottle,put,0,0,0,1,0,0,0,1.0
left:top,oil,0,0,1,0,0,1,0,0.0
plug,move,0,0,0,1,0,0,0,1.0
ham,board,0,0,1,0,0,1,0,0.0
noodle,soup,0,0,1,0,0,1,0,0.0
vinegar,salad,0,0,1,0,0,1,0,0.0
bowl,cover,0,0,1,0,0,1,0,0.0
cinnamon,pour,0,0,0,1,0,0,0,1.0
spoon:second,mixture,0,0,1,0,0,1,0,0.0
trivet,arrange,0,0,0,1,0,0,0,1.0
grinder,dishwasher,0,0,1,0,0,1,0,0.0
dish,kitchen,0,0,1,0,0,1,0,0.0
rest,container,0,0,1,0,0,1,0,0.0
tortilla,fold,0,0,0,1,0,0,0,1.0
hand:my,clothes,0,0,1,0,0,1,0,0.0
onion:spring,skin:onion,0,0,1,0,0,1,0,0.0
stove,pan,0,0,1,0,0,1,0,0.0
spice,measure,0,0,0,1,0,0,0,1.0
drainer,pan,0,0,1,0,0,1,0,0.0
spatula,take,0,0,0,1,0,0,0,1.0
lid,top:counter,0,0,1,0,0,1,0,0.0
napkin,spoon,0,0,1,0,0,1,0,0.0
pan,spinach,0,0,1,0,0,1,0,0.0
bucket:cooker,cooker:rice,0,0,1,0,0,1,0,0.0
rack:dryer,plate,0,0,1,0,0,1,0,0.0
microwave,put-in,0,0,0,1,0,0,0,1.0
top,tap,0,0,1,0,0,1,0,0.0
bacon,heat,0,0,0,1,0,0,0,1.0
pot,put-down,0,0,0,1,0,0,0,1.0
box,saucepan,0,0,1,0,0,1,0,0.0
bag,tamagoyaki,0,0,1,0,0,1,0,0.0
board,dishwasher,0,0,1,0,0,1,0,0.0
flame,adjust,0,0,0,1,0,0,0,1.0
salad,move,0,0,0,1,0,0,0,1.0
water,put-in,0,0,0,1,0,0,0,1.0
filter,put-in,0,0,0,1,0,0,0,1.0
broccoli,rest,0,0,1,0,0,1,0,0.0
sauce,salt,0,0,1,0,0,1,0,0.0
oven,source:power,0,0,1,0,0,1,0,0.0
wine:red,vinegar:wine,0,0,1,0,0,1,0,0.0
cheese,pasta,0,0,1,0,0,1,0,0.0
bowl:saucepan,piece:ginger,0,0,1,0,0,1,0,0.0
water,shake,0,0,0,1,0,0,0,1.0
filter,shake,0,0,0,1,0,0,0,1.0
bottle,fridge,0,0,1,0,0,1,0,0.0
spoon:wooden,place,0,0,0,1,0,0,0,1.0
plug,remove,0,0,0,1,0,0,0,1.0
knife,board:cutting,0,0,1,0,0,1,0,0.0
lid,grab,0,0,0,1,0,0,0,1.0
scissors,search-for,0,0,0,1,0,0,0,1.0
bag:cheese,open,0,0,0,1,0,0,0,1.0
salt,bottom,0,0,1,0,0,1,0,0.0
drawer,glove:oven,0,0,1,0,0,1,0,0.0
flour,stir,0,0,0,1,0,0,0,1.0
bottle:milk,empty,0,0,0,1,0,0,0,1.0
sugar,milk,0,0,1,0,0,1,0,0.0
liquid,shake,0,0,0,1,0,0,0,1.0
slice:mozzarella,bowl:salad,0,0,1,0,0,1,0,0.0
saucepan,put-in,0,0,0,1,0,0,0,1.0
mesh,sink,0,0,1,0,0,1,0,0.0
