Object/Action_1,Object/Action_2,UsedFor,CapableOf,CreatedBy,Affordance,HasA,IsA,AtLocation,LocatedNear
bowl,oat,0,0,0,0,0,0,0,1
salad,herb,0,0,0,0,0,0,0,1
kettle,fill,1,0,0,1,0,0,0,0
piece:small,tomato,0,0,0,0,0,0,0,1
soap,get,1,0,0,1,0,0,0,0
cheese,spoon:wooden,0,0,0,0,0,0,0,1
package:popcorn,table,0,0,0,0,0,0,0,1
pan:frying,sauce,0,0,0,0,0,0,0,1
saucepan,box,0,0,0,0,0,0,0,1
dish,vegetable,0,0,0,0,0,0,0,1
raisin,pour,1,0,0,1,0,0,0,0
hob,ignite,1,0,0,1,0,0,0,0
potato,rinse,1,0,0,1,0,0,0,0
carrot,drop,1,0,0,1,0,0,0,0
jug,water,0,0,0,0,0,0,0,1
scissors,wash,1,0,0,1,0,0,0,0
package:cheese,take-out,1,0,0,1,0,0,0,0
pan,cooker,0,0,0,0,0,0,0,1
grape,glass,0,0,0,0,0,0,0,1
parsley,strain,1,0,0,1,0,0,0,0
cupboard,bag:tea,0,0,0,0,0,0,0,1
refrigerator,open,1,0,0,1,0,0,0,0
water:more,move,1,0,0,1,0,0,0,0
apron,wear,1,0,0,1,0,0,0,0
glass,take-out,1,0,0,1,0,0,0,0
packet,leaf:curry,0,0,0,0,0,0,0,1
package:sausage,fridge,0,0,0,0,0,0,0,1
bag,unfold,1,0,0,1,0,0,0,0
knife,shelf:utensil,0,0,0,0,0,0,0,1
salt,chopstick,0,0,0,0,0,0,0,1
waste,table,0,0,0,0,0,0,0,1
ventilator,close,1,0,0,1,0,0,0,0
chopstick,move,1,0,0,1,0,0,0,0
nozzle,put,1,0,0,1,0,0,0,0
bag,throw,1,0,0,1,0,0,0,0
rice,pot:right,0,0,0,0,0,0,0,1
leek,bag:plastic,0,0,0,0,0,0,0,1
spoon,drawer,0,0,0,0,0,0,0,1
residue:food,throw-away,1,0,0,1,0,0,0,0
machine:coffee,put-into,1,0,0,1,0,0,0,0
spoon:tea,place,1,0,0,1,0,0,0,0
film:cling,lime,0,0,0,0,0,0,0,1
opener:bottle,take,1,0,0,1,0,0,0,0
garlic,onion,0,0,0,0,0,0,0,1
drainer,teaspoon,0,0,0,0,0,0,0,1
fridge,pepper,0,0,0,0,0,0,0,1
grinder:coffee,put-down,1,0,0,1,0,0,0,0
glass,blueberry,0,0,0,0,0,0,0,1
bowl:processor,wipe-off,1,0,0,1,0,0,0,0
banana,put-down,1,0,0,1,0,0,0,0
mixture,bag,0,0,0,0,0,0,0,1
sponge,liquid,0,0,0,0,0,0,0,1
potato,peel,1,0,0,1,0,0,0,0
banana,remove,1,0,0,1,0,0,0,0
filter:sink,put,1,0,0,1,0,0,0,0
pot,water:more,0,0,0,0,0,0,0,1
cupboard,close,1,0,0,1,0,0,0,0
milk:coconut,pick-up,1,0,0,1,0,0,0,0
towel:kitchen,leaf:salad,0,0,0,0,0,0,0,1
tray:baking,put,1,0,0,1,0,0,0,0
plate,remove,1,0,0,1,0,0,0,0
bin,plug,0,0,0,0,0,0,0,1
silverware,grab,1,0,0,1,0,0,0,0
knife,drawer,0,0,0,0,0,0,0,1
pot:pressure,top,0,0,0,0,0,0,0,1
plate:top,tap,0,0,0,0,0,0,0,1
container,top,0,0,0,0,0,0,0,1
bottle,glass,0,0,0,0,0,0,0,1
bag:flour,roll,1,0,0,1,0,0,0,0
bag,tamagoyaki,0,0,0,0,0,0,0,1
paste:garlic,close,1,0,0,1,0,0,0,0
drawer,turn,1,0,0,1,0,0,0,0
pesto,lid,0,0,0,0,0,0,0,1
bag:plastic,get,1,0,0,1,0,0,0,0
potato,get,1,0,0,1,0,0,0,0
box,filter,0,0,0,0,0,0,0,1
tin:tomato,open,1,0,0,1,0,0,0,0
cover:plastic,scissors,0,0,0,0,0,0,0,1
pan,flour,0,0,0,0,0,0,0,1
hamburger,sausage,0,0,0,0,0,0,0,1
oregano,meat,0,0,0,0,0,0,0,1
broccoli,pick-up,1,0,0,1,0,0,0,0
vinegar,close,1,0,0,1,0,0,0,0
paprika,put-down,1,0,0,1,0,0,0,0
packet,teabag,0,0,0,0,0,0,0,1
strainer,leaf,0,0,0,0,0,0,0,1
piece:ginger,cut,1,0,0,1,0,0,0,0
cheese,close,1,0,0,1,0,0,0,0
bag:rice,close,1,0,0,1,0,0,0,0
bowl:serving,leaf:spinach,0,0,0,0,0,0,0,1
spice,measure,1,0,0,1,0,0,0,0
jug,dry,1,0,0,1,0,0,0,0
packaging:lettuce,open,1,0,0,1,0,0,0,0
leaf:salad,get,1,0,0,1,0,0,0,0
chunk,thigh:chicken,0,0,0,0,0,0,0,1
bottle,lid,0,0,0,0,0,0,0,1
fish,bowl:glass,0,0,0,0,0,0,0,1
towel:kitchen,take,1,0,0,1,0,0,0,0
poster,adjust,1,0,0,1,0,0,0,0
sprout,pot:right,0,0,0,0,0,0,0,1
refrigerator,bowl,0,0,0,0,0,0,0,1
water,leaf:salad,0,0,0,0,0,0,0,1
scissors,cover:plastic,0,0,0,0,0,0,0,1
dustbin,rubbish,0,0,0,0,0,0,0,1
fridge,box,0,0,0,0,0,0,0,1
residue:food,rinse,1,0,0,1,0,0,0,0
coffee,milk,0,0,0,0,0,0,0,1
dish,cooker,0,0,0,0,0,0,0,1
spade,clean,1,0,0,1,0,0,0,0
jug:measuring,fraiche:creme,0,0,0,0,0,0,0,1
rack,open,1,0,0,1,0,0,0,0
processor,lid,0,0,0,0,0,0,0,1
pepper:black,open,1,0,0,1,0,0,0,0
content,tupperware,0,0,0,0,0,0,0,1
piece:fish,fish,0,0,0,0,0,0,0,1
sponge,soak,1,0,0,1,0,0,0,0
cup,microwave,0,0,0,0,0,0,0,1
aubergine,wash,1,0,0,1,0,0,0,0
salt,pepper,0,0,0,0,0,0,0,1
water,excess,0,0,0,0,0,0,0,1
cooker,wipe,1,0,0,1,0,0,0,0
tupperware,lid,0,0,0,0,0,0,0,1
shelf:dish,spoon,0,0,0,0,0,0,0,1
masala,put,1,0,0,1,0,0,0,0
salsa,store,1,0,0,1,0,0,0,0
oil:olive,put,1,0,0,1,0,0,0,0
oven,stop,1,0,0,1,0,0,0,0
food,stir,1,0,0,1,0,0,0,0
plastic,scissors,0,0,0,0,0,0,0,1
phone,freezer,0,0,0,0,0,0,0,1
bin,top,0,0,0,0,0,0,0,1
nesquik,pick-up,1,0,0,1,0,0,0,0
cup,move,1,0,0,1,0,0,0,0
sugar,coffee,0,0,0,0,0,0,0,1
patty,pan,0,0,0,0,0,0,0,1
pot,oat,0,0,0,0,0,0,0,1
bottom,oven,0,0,0,0,0,0,0,1
fridge,piece:ginger,0,0,0,0,0,0,0,1
lime,rinse,1,0,0,1,0,0,0,0
mat,pick-up,1,0,0,1,0,0,0,0
dishwater,close,1,0,0,1,0,0,0,0
mayonnaise,ketchup,0,0,0,0,0,0,0,1
bit:pear,throw-in,1,0,0,1,0,0,0,0
package:bread,open,1,0,0,1,0,0,0,0
board:chopping,surface,0,0,0,0,0,0,0,1
recycle,plastic,0,0,0,0,0,0,0,1
onion,mortar,0,0,0,0,0,0,0,1
chair,move,1,0,0,1,0,0,0,0
package,take,1,0,0,1,0,0,0,0
pot,lid:glass,0,0,0,0,0,0,0,1
noodle,sauce,0,0,0,0,0,0,0,1
maker:coffee,turn-off,1,0,0,1,0,0,0,0
lid,shake,1,0,0,1,0,0,0,0
container:salt,put-down,1,0,0,1,0,0,0,0
onion,push,1,0,0,1,0,0,0,0
box:milk,open,1,0,0,1,0,0,0,0
board:cutting,sink,0,0,0,0,0,0,0,1
bowl:glass,water:more,0,0,0,0,0,0,0,1
side,lid,0,0,0,0,0,0,0,1
dishwasher,plate,0,0,0,0,0,0,0,1
cup:measuring,get,1,0,0,1,0,0,0,0
bowl:sugar,grab,1,0,0,1,0,0,0,0
lid,top:counter,0,0,0,0,0,0,0,1
bag,bin,0,0,0,0,0,0,0,1
top,pot:left,0,0,0,0,0,0,0,1
mitt:oven,radiator,0,0,0,0,0,0,0,1
jug,rinse,1,0,0,1,0,0,0,0
filter,grab,1,0,0,1,0,0,0,0
sausage,peel,1,0,0,1,0,0,0,0
spoon:wooden,clean,1,0,0,1,0,0,0,0
radiator,mitt:oven,0,0,0,0,0,0,0,1
surface:hob,wipe,1,0,0,1,0,0,0,0
honey,open,1,0,0,1,0,0,0,0
box:tea,take,1,0,0,1,0,0,0,0
strainer,shake,1,0,0,1,0,0,0,0
paper,read,1,0,0,1,0,0,0,0
bag,coffee,0,0,0,0,0,0,0,1
vegetable,put-down,1,0,0,1,0,0,0,0
spatula,rinse,1,0,0,1,0,0,0,0
tortilla,plate,0,0,0,0,0,0,0,1
holder,knife,0,0,0,0,0,0,0,1
towel:tea,hang,1,0,0,1,0,0,0,0
dish,kitchen,0,0,0,0,0,0,0,1
trash,paper,0,0,0,0,0,0,0,1
tong,rinse,1,0,0,1,0,0,0,0
sink,empty,1,0,0,1,0,0,0,0
pesto,spoon:wooden,0,0,0,0,0,0,0,1
tray,dry,1,0,0,1,0,0,0,0
kettle,move,1,0,0,1,0,0,0,0
pan:frying,rinse,1,0,0,1,0,0,0,0
box:olive,olive,0,0,0,0,0,0,0,1
spoon:wooden,garlic,0,0,0,0,0,0,0,1
packet,look-at,1,0,0,1,0,0,0,0
patty,mixture,0,0,0,0,0,0,0,1
saucepan,check,1,0,0,1,0,0,0,0
jar,close,1,0,0,1,0,0,0,0
drawer,spoon,0,0,0,0,0,0,0,1
case,close,1,0,0,1,0,0,0,0
flour,mix,1,0,0,1,0,0,0,0
skinner:carrot,take,1,0,0,1,0,0,0,0
oven,clean,1,0,0,1,0,0,0,0
boxer,hang,1,0,0,1,0,0,0,0
end:aubergine,take,1,0,0,1,0,0,0,0
second,time:cooking,0,0,0,0,0,0,0,1
cupboard,shaker:pepper,0,0,0,0,0,0,0,1
piece:lime,rearrange,1,0,0,1,0,0,0,0
turmeric,take,1,0,0,1,0,0,0,0
coriander,chop,1,0,0,1,0,0,0,0
plate,surface,0,0,0,0,0,0,0,1
loaf,bread,0,0,0,0,0,0,0,1
jar,fill-up,1,0,0,1,0,0,0,0
coffee,put-down,1,0,0,1,0,0,0,0
grinder,cover,1,0,0,1,0,0,0,0
box:lunch,take,1,0,0,1,0,0,0,0
can,water:empty,0,0,0,0,0,0,0,1
yeast,get,1,0,0,1,0,0,0,0
rice,pick-up,1,0,0,1,0,0,0,0
chopstick,use,1,0,0,1,0,0,0,0
oregano,put,1,0,0,1,0,0,0,0
pin:rolling,put-down,1,0,0,1,0,0,0,0
plate,liquid:washing,0,0,0,0,0,0,0,1
egg:distribute,pan,0,0,0,0,0,0,0,1
cheese:more,tortilla,0,0,0,0,0,0,0,1
board:chopping,pick-up,1,0,0,1,0,0,0,0
spoon,place,1,0,0,1,0,0,0,0
pasta,plate,0,0,0,0,0,0,0,1
box:cereal,open,1,0,0,1,0,0,0,0
piece:fish,spade:food,0,0,0,0,0,0,0,1
sink,strainer,0,0,0,0,0,0,0,1
plug,connect,1,0,0,1,0,0,0,0
scissors,return,1,0,0,1,0,0,0,0
chunk,pepper,0,0,0,0,0,0,0,1
plate,mayonnaise,0,0,0,0,0,0,0,1
bean,bowl,0,0,0,0,0,0,0,1
bowl,water:hot,0,0,0,0,0,0,0,1
sugar,take,1,0,0,1,0,0,0,0
wrap:plastic,tear-off,1,0,0,1,0,0,0,0
spatula:wooden,drainer,0,0,0,0,0,0,0,1
hob,turn-on,1,0,0,1,0,0,0,0
pesto:cheese,pan,0,0,0,0,0,0,0,1
bag,seal,1,0,0,1,0,0,0,0
garlic,dustbin,0,0,0,0,0,0,0,1
tail,carrot,0,0,0,0,0,0,0,1
carrot,garlic,0,0,0,0,0,0,0,1
container,grab,1,0,0,1,0,0,0,0
juice:fruit,fetch,1,0,0,1,0,0,0,0
water,put-on,1,0,0,1,0,0,0,0
glass,plate,0,0,0,0,0,0,0,1
powder:dishing,dishwasher,0,0,0,0,0,0,0,1
sink:kitchen,wipe,1,0,0,1,0,0,0,0
tupperware,spoon:wooden,0,0,0,0,0,0,0,1
spade,flavour,0,0,0,0,0,0,0,1
rice,measure,1,0,0,1,0,0,0,0
cube:stock,open,1,0,0,1,0,0,0,0
piece:onion,put,1,0,0,1,0,0,0,0
fraiche,pick-up,1,0,0,1,0,0,0,0
cucumber,refrigerator,0,0,0,0,0,0,0,1
bean:green,basket,0,0,0,0,0,0,0,1
milk:soy,cup,0,0,0,0,0,0,0,1
flower,board:cutting,0,0,0,0,0,0,0,1
tomato:cherry,put-down,1,0,0,1,0,0,0,0
cupboard,coffee,0,0,0,0,0,0,0,1
slice:lemon,throw,1,0,0,1,0,0,0,0
tap,top,0,0,0,0,0,0,0,1
towel:tea,put-down,1,0,0,1,0,0,0,0
pesto,close,1,0,0,1,0,0,0,0
egg,pick-up,1,0,0,1,0,0,0,0
paneer,put-down,1,0,0,1,0,0,0,0
spade,bottom,0,0,0,0,0,0,0,1
lead,container,0,0,0,0,0,0,0,1
pitcher,grab,1,0,0,1,0,0,0,0
slicing,tomato,0,0,0,0,0,0,0,1
spoon,clean,1,0,0,1,0,0,0,0
bowl,surface,0,0,0,0,0,0,0,1
bread,flip,1,0,0,1,0,0,0,0
fruit,wash,1,0,0,1,0,0,0,0
rack,knife,0,0,0,0,0,0,0,1
flour,move,1,0,0,1,0,0,0,0
mixture:food,side,0,0,0,0,0,0,0,1
bag,take,1,0,0,1,0,0,0,0
board:cutting,cupboard,0,0,0,0,0,0,0,1
herb,pour,1,0,0,1,0,0,0,0
scale:measuring,put-down,1,0,0,1,0,0,0,0
cucumber,put,1,0,0,1,0,0,0,0
celery,cut,1,0,0,1,0,0,0,0
cupboard,dish,0,0,0,0,0,0,0,1
package:popcorn,check,1,0,0,1,0,0,0,0
glass,smoothie,0,0,0,0,0,0,0,1
fork:paper,table,0,0,0,0,0,0,0,1
plate,pick-up,1,0,0,1,0,0,0,0
board:cutting,wash,1,0,0,1,0,0,0,0
glass,remove,1,0,0,1,0,0,0,0
blueberry,grape,0,0,0,0,0,0,0,1
bag,lettuce,0,0,0,0,0,0,0,1
knife,clean,1,0,0,1,0,0,0,0
filter,wipe-off,1,0,0,1,0,0,0,0
board,wipe-off,1,0,0,1,0,0,0,0
utensil,lather,1,0,0,1,0,0,0,0
roll:kitchen,blow,1,0,0,1,0,0,0,0
bottle,close,1,0,0,1,0,0,0,0
power,select,1,0,0,1,0,0,0,0
stock,put,1,0,0,1,0,0,0,0
tap,place-that,1,0,0,1,0,0,0,0
pan,mixture:whole,0,0,0,0,0,0,0,1
gas,switch-on,1,0,0,1,0,0,0,0
pan,garlic,0,0,0,0,0,0,0,1
bottle:nesquik,open,1,0,0,1,0,0,0,0
water,spade,0,0,0,0,0,0,0,1
tin,cube:stock,0,0,0,0,0,0,0,1
spoon,sauce,0,0,0,0,0,0,0,1
cover,filter:water,0,0,0,0,0,0,0,1
hand:my,clothes,0,0,0,0,0,0,0,1
soap,hand,0,0,0,0,0,0,0,1
kiwi,top:counter,0,0,0,0,0,0,0,1
lid,place-back,1,0,0,1,0,0,0,0
jeera,take,1,0,0,1,0,0,0,0
dustbin,skin,0,0,0,0,0,0,0,1
bag:salt,take,1,0,0,1,0,0,0,0
salad,fridge,0,0,0,0,0,0,0,1
roll:sesame,put,1,0,0,1,0,0,0,0
teapot,pick-up,1,0,0,1,0,0,0,0
lid,place,1,0,0,1,0,0,0,1
bin,shell:egg,0,0,0,0,0,0,0,1
potato:baby,clean,1,0,0,1,0,0,0,0
root,curry:only,0,0,0,0,0,0,0,1
stuff:board,bin,0,0,0,0,0,0,0,1
tupperware,close,1,0,0,1,0,0,0,0
chilli,chop,1,0,0,1,0,0,0,0
dustpan,bin,0,0,0,0,0,0,0,1
hand,salt,0,0,0,0,0,0,0,1
bowl,cover,0,0,0,0,0,0,0,1
cabinet,open,1,0,0,1,0,0,0,0
potato,halve,1,0,0,1,0,0,0,0
coffee,video,1,0,0,1,0,0,0,0
holder:filter,insert,1,0,0,1,0,0,0,0
bowl:salad,pose,1,0,0,1,0,0,0,0
sink,knife,0,0,0,0,0,0,0,1
squash,close,1,0,0,1,0,0,0,0
water,pot,0,0,0,0,0,0,0,1
bottom,sprout,0,0,0,0,0,0,0,1
egg,box:egg,0,0,0,0,0,0,0,1
grater,take,1,0,0,1,0,0,0,0
cloth:cleaning,water:tap,0,0,0,0,0,0,0,1
package:egg,open,1,0,0,1,0,0,0,0
leaf,wash,1,0,0,1,0,0,0,0
bowl,cup:flour,0,0,0,0,0,0,0,1
bowl:salad,wash,1,0,0,1,0,0,0,0
salad,plate,0,0,0,0,0,0,0,1
content,pan,0,0,0,0,0,0,0,1
towel,search,1,0,0,1,0,0,0,0
package,meat,0,0,0,0,0,0,0,1
box,rubbish,0,0,0,0,0,0,0,1
bowl,pick-up,1,0,0,1,0,0,0,0
mug,stir,1,0,0,1,0,0,0,0
carrot,colander,0,0,0,0,0,0,0,1
tap,gather,1,0,0,1,0,0,0,0
towel:paper,throw,1,0,0,1,0,0,0,0
coffee,place,1,0,0,1,0,0,0,0
sink:empty,hold,1,0,0,1,0,0,0,0
bowl,oil:olive,0,0,0,0,0,0,0,1
pepper,grind,1,0,0,1,0,0,0,0
scissors,wipe,1,0,0,1,0,0,0,0
rice,lid,0,0,0,0,0,0,0,1
cupboard,take,1,0,0,1,0,0,0,0
container,salad,0,0,0,0,0,0,0,1
bottle,throw,1,0,0,1,0,0,0,0
rack:drying,teapot,0,0,0,0,0,0,0,1
microwave,restart,1,0,0,1,0,0,0,0
tablecloth,fold,1,0,0,1,0,0,0,0
box:egg,open,1,0,0,1,0,0,0,0
drainer,put,1,0,0,1,0,0,0,0
surface,wipe,1,0,0,1,0,0,0,0
pizza,open,1,0,0,1,0,0,0,0
pack:meat,take,1,0,0,1,0,0,0,0
vinegar,put-back,1,0,0,1,0,0,0,0
saucepan,curry:fish,0,0,0,0,0,0,0,1
ring:onion,turn,1,0,0,1,0,0,0,0
potato,check,1,0,0,1,0,0,0,0
leek,cut,1,0,0,1,0,0,0,0
lid,pull,1,0,0,1,0,0,0,0
parsley,rinse,1,0,0,1,0,0,0,0
stick:chop,salt,0,0,0,0,0,0,0,1
wrap:plastic,cheese,0,0,0,0,0,0,0,1
spade,get,1,0,0,1,0,0,0,0
nesquik,bottle,0,0,0,0,0,0,0,1
pan:content,stir,1,0,0,1,0,0,0,0
tomato:peeled,pick-up,1,0,0,1,0,0,0,0
pan,heat,0,0,0,0,0,0,0,1
tortilla,fold,1,0,0,1,0,0,0,0
spoon:wooden,rinse,1,0,0,1,0,0,0,0
clothes,pick-up,1,0,0,1,0,0,0,0
pancake,place,1,0,0,1,0,0,0,0
bowl:glass,egg:second,0,0,0,0,0,0,0,1
container:soap,lather,1,0,0,1,0,0,0,0
skin:avocado,throw,1,0,0,1,0,0,0,0
pot:small,rinse,1,0,0,1,0,0,0,0
leaf:basil,take,1,0,0,1,0,0,0,0
cheese,take,1,0,0,1,0,0,0,0
strainer,clean,1,0,0,1,0,0,0,0
mug,bowl,0,0,0,0,0,0,0,1
fridge,bean:green,0,0,0,0,0,0,0,1
plate,glass,0,0,0,0,0,0,0,1
stand:spoon,spoon,0,0,0,0,0,0,0,1
onion,clean,1,0,0,1,0,0,0,0
eggshell,bowl:egg,0,0,0,0,0,0,0,1
lettuce,squeeze,1,0,0,1,0,0,0,0
granola,open,1,0,0,1,0,0,0,0
glove:oven,get,1,0,0,1,0,0,0,0
saucepan,chilli,0,0,0,0,0,0,0,1
dough,squash,1,0,0,1,0,0,0,0
form,wash,1,0,0,1,0,0,0,0
rack:washing,put,1,0,0,1,0,0,0,0
bread,bag,0,0,0,0,0,0,0,1
tortilla,salsa,0,0,0,0,0,0,0,1
water,salt,0,0,0,0,0,0,0,1
pan,raisin,0,0,0,0,0,0,0,1
pan,colander,0,0,0,0,0,0,0,1
food:cooked,bowl:glass,0,0,0,0,0,0,0,1
chilli,taste,1,0,0,1,0,0,0,0
meat,stir,1,0,0,1,0,0,0,0
plug,sink,0,0,0,0,0,0,0,1
water,corn,0,0,0,0,0,0,0,1
mixture:whole,bowl,0,0,0,0,0,0,0,1
rice,board:chopping,0,0,0,0,0,0,0,1
oil:coconut,pan,0,0,0,0,0,0,0,1
counter,tablecloth,0,0,0,0,0,0,0,1
leaf:salad,towel:kitchen,0,0,0,0,0,0,0,1
oil:olive,spoon,0,0,0,0,0,0,0,1
vegetable,tofu,0,0,0,0,0,0,0,1
spinach,wash,1,0,0,1,0,0,0,0
dough,put,1,0,0,1,0,0,0,0
broom,place,1,0,0,1,0,0,0,0
food,saucepan,0,0,0,0,0,0,0,1
shell:egg,pick-up,1,0,0,1,0,0,0,0
hob,pot:mocha,0,0,0,0,0,0,0,1
bin,salad,0,0,0,0,0,0,0,1
pot,salsa,0,0,0,0,0,0,0,1
avocado,take-out,1,0,0,1,0,0,0,0
driver:screw,move,1,0,0,1,0,0,0,0
plate,lid,0,0,0,0,0,0,0,1
box:sausage,open,1,0,0,1,0,0,0,0
milk,grab,1,0,0,1,0,0,0,0
stock,mix,1,0,0,1,0,0,0,0
heat,turn,1,0,0,1,0,0,0,0
tablecloth,pick-up,1,0,0,1,0,0,0,0
masher,pick-up,1,0,0,1,0,0,0,0
bag:cereal,fold,1,0,0,1,0,0,0,0
seed,put-down,1,0,0,1,0,0,0,0
spice,pour,1,0,0,1,0,0,0,0
mixture,bottom,0,0,0,0,0,0,0,1
milk:coconut,pour,1,0,0,1,0,0,0,0
seed,remove,1,0,0,1,0,0,0,0
water:hot,kettle,0,0,0,0,0,0,0,1
rack,saucepan,0,0,0,0,0,0,0,1
container:food,take-out,1,0,0,1,0,0,0,0
top,chopstick,0,0,0,0,0,0,0,1
grape,bin,0,0,0,0,0,0,0,1
lid,yoghurt:pick,0,0,0,0,0,0,0,1
syrup:maple,get,1,0,0,1,0,0,0,0
pasta,salsa,0,0,0,0,0,0,0,1
fork:napkin,table,0,0,0,0,0,0,0,1
counter,turn-on,1,0,0,1,0,0,0,0
tortilla,pick-up,1,0,0,1,0,0,0,0
bin,wipe,1,0,0,1,0,0,0,0
pot,cover,1,0,0,1,0,0,0,1
meat,bowl,0,0,0,0,0,0,0,1
water:tap,sink:water,0,0,0,0,0,0,0,1
cheese,put-away,1,0,0,1,0,0,0,0
pestle,spice,0,0,0,0,0,0,0,1
plate,hold,1,0,0,1,0,0,0,0
sweetcorn,put-down,1,0,0,1,0,0,0,0
fridge,container:food,0,0,0,0,0,0,0,1
bowl,glass,0,0,0,0,0,0,0,1
lettuce,sauce:soya,0,0,0,0,0,0,0,1
napkin,fork,0,0,0,0,0,0,0,1
teapot,lid,0,0,0,0,0,0,0,1
box,rinse,1,0,0,1,0,0,0,0
sink,place-into,1,0,0,1,0,0,0,0
lettuce,half,0,0,0,0,0,0,0,1
rag,put,1,0,0,1,0,0,0,0
corn:sweet,take,1,0,0,1,0,0,0,0
bean:green,put-down,1,0,0,1,0,0,0,0
tea,teapot,0,0,0,0,0,0,0,1
pit,remove,1,0,0,1,0,0,0,0
food,press,1,0,0,1,0,0,0,0
pot,pick-up,1,0,0,1,0,0,0,0
counter,container,0,0,0,0,0,0,0,1
onion,slice-up,1,0,0,1,0,0,0,0
hob,place-on,1,0,0,1,0,0,0,0
sauce,pan,0,0,0,0,0,0,0,1
spoon,rinse,1,0,0,1,0,0,0,0
cupboard,nesquik,0,0,0,0,0,0,0,1
pot,oil:olive,0,0,0,0,0,0,0,1
clip:bag,dry,1,0,0,1,0,0,0,0
detergent,put,1,0,0,1,0,0,0,0
berry,plate,0,0,0,0,0,0,0,1
juice,shake,1,0,0,1,0,0,0,0
broccoli,throw,1,0,0,1,0,0,0,0
bottle,bin,0,0,0,0,0,0,0,1
stove,cloth,0,0,0,0,0,0,0,1
piece:plastic,throw,1,0,0,1,0,0,0,0
trash,can,0,0,0,0,0,0,0,1
box:salt,close,1,0,0,1,0,0,0,0
chorizo,pull,1,0,0,1,0,0,0,0
bowl,salad:pour,0,0,0,0,0,0,0,1
utensil,put,1,0,0,1,0,0,0,0
knife,rinse,1,0,0,1,0,0,0,0
pasta,pick-up,1,0,0,1,0,0,0,0
sink:water,clean,1,0,0,1,0,0,0,0
bowl,lid,0,0,0,0,0,0,0,1
water,put,1,0,0,1,0,0,0,0
glass,cover,1,0,0,1,0,0,0,0
tin,put-down,1,0,0,1,0,0,0,0
water:add,tap,0,0,0,0,0,0,0,1
jar,take,1,0,0,1,0,0,0,0
brush,chopstick,0,0,0,0,0,0,0,1
jar,machine:coffee,0,0,0,0,0,0,0,1
salad,move,1,0,0,1,0,0,0,0
knife,scissor,0,0,0,0,0,0,0,1
bowl,yeast,0,0,0,0,0,0,0,1
leaf:spinach,bowl:serving,0,0,0,0,0,0,0,1
cloth,fold,1,0,0,1,0,0,0,0
oregano,spoon,1,0,0,1,0,0,0,0
lettuce,sauce:soy,0,0,0,0,0,0,0,1
pot,side:outer,0,0,0,0,0,0,0,1
skin,clove,0,0,0,0,0,0,0,1
scrap,throw-away,1,0,0,1,0,0,0,0
box,get,1,0,0,1,0,0,0,0
sauce,cupboard,0,0,0,0,0,0,0,1
paneer:saag,serve,1,0,0,1,0,0,0,0
time,look-at,1,0,0,1,0,0,0,0
piece:ginger,hand,0,0,0,0,0,0,0,1
glass,pick-up,1,0,0,1,0,0,0,0
onion,cut,1,0,0,1,0,0,0,0
rack:drying,bowl,0,0,0,0,0,0,0,1
cooker,water:hot,0,0,0,0,0,0,0,1
door,open,1,0,0,1,0,0,0,0
saucepan:small,put-down,1,0,0,1,0,0,0,0
trouser,hang,1,0,0,1,0,0,0,0
window,open,1,0,0,1,0,0,0,0
tupperware,coffee,0,0,0,0,0,0,0,1
water:more,bowl,0,0,0,0,0,0,0,1
spoon,get,1,0,0,1,0,0,0,0
squash,bin,0,0,0,0,0,0,0,1
chorizo,packet,0,0,0,0,0,0,0,1
paprika,get,1,0,0,1,0,0,0,0
paella,stir,1,0,0,1,0,0,0,0
cleanser,put-down,1,0,0,1,0,0,0,0
chopstick,bowl,0,0,0,0,0,0,0,1
lighter,put-down,1,0,0,1,0,0,0,0
package:cookie,refrigerator,0,0,0,0,0,0,0,1
tomato,rinse,1,0,0,1,0,0,0,0
drainer,cutlery,0,0,0,0,0,0,0,1
mug,rice,0,0,0,0,0,0,0,1
pot:left,spade,0,0,0,0,0,0,0,1
sauce,tortilla,0,0,0,0,0,0,0,1
pan,coriander,0,0,0,0,0,0,0,1
salad,lemon,0,0,0,0,0,0,0,1
basket,shake,1,0,0,1,0,0,0,0
cloth:table,lay,1,0,0,1,0,0,0,0
knife,get,1,0,0,1,0,0,0,0
tomato:chopped,take-out,1,0,0,1,0,0,0,0
side,bin,0,0,0,0,0,0,0,1
refrigerator,bottle:oil,0,0,0,0,0,0,0,1
plate,spoon:wooden,0,0,0,0,0,0,0,1
bowl,board:chopping,0,0,0,0,0,0,0,1
cover,remove,1,0,0,1,0,0,0,0
freezer,phone,0,0,0,0,0,0,0,1
paper,throw-away,1,0,0,1,0,0,0,0
rice,close,1,0,0,1,0,0,0,0
spoon,table,0,0,0,0,0,0,0,1
fridge,salad,0,0,0,0,0,0,0,1
glove,oven,0,0,0,0,0,0,0,1
button,push,1,0,0,1,0,0,0,0
water,egg,0,0,0,0,0,0,0,1
grape,take,1,0,0,1,0,0,0,0
table,wash,1,0,0,1,0,0,0,0
cup,bag:tea,0,0,0,0,0,0,0,1
paper,toss,1,0,0,1,0,0,0,0
dough,mix,1,0,0,1,0,0,0,0
water,oven:right,0,0,0,0,0,0,0,1
bag,mixture:tuna,0,0,0,0,0,0,0,1
laundry,machine:washing,0,0,0,0,0,0,0,1
pesto,take,1,0,0,1,0,0,0,0
